Effective Date,Close Value,Difference,Differ%,gan Year,G Year,G Month
06/30/1896,36.15,-4.480000000000004,0.89,丙,申,未
07/31/1896,32.02,-4.1299999999999955,0.886,丙,申,申
08/31/1896,31.97,-0.05000000000000426,0.998,丙,申,酉
09/30/1896,36.05,4.079999999999998,1.128,丙,申,戌
10/31/1896,39.53,3.480000000000004,1.097,丙,申,亥
11/30/1896,41,1.4699999999999989,1.037,丙,申,子
12/31/1896,40.45,-0.5499999999999972,0.987,丙,申,丑
01/30/1897,42.56,2.1099999999999994,1.052,丁,酉,寅
02/27/1897,41.71,-0.8500000000000014,0.98,丁,酉,卯
03/31/1897,39.47,-2.240000000000002,0.946,丁,酉,辰
04/30/1897,38.96,-0.509999999999998,0.987,丁,酉,巳
05/29/1897,39.91,0.9499999999999957,1.024,丁,酉,午
06/30/1897,44.1,4.190000000000005,1.105,丁,酉,未
07/31/1897,47.88,3.780000000000001,1.086,丁,酉,申
08/31/1897,54.81,6.93,1.145,丁,酉,酉
09/30/1897,50.98,-3.8300000000000054,0.93,丁,酉,戌
10/30/1897,49.03,-1.9499999999999957,0.962,丁,酉,亥
11/30/1897,47.46,-1.5700000000000003,0.968,丁,酉,子
12/31/1897,49.41,1.9499999999999957,1.041,丁,酉,丑
01/31/1898,50.01,0.6000000000000014,1.012,戊,戌,寅
02/28/1898,46.17,-3.8399999999999963,0.923,戊,戌,卯
03/31/1898,45.42,-0.75,0.984,戊,戌,辰
04/30/1898,46,0.5799999999999983,1.013,戊,戌,巳
05/31/1898,52.74,6.740000000000002,1.147,戊,戌,午
06/30/1898,52.62,-0.12000000000000455,0.998,戊,戌,未
07/30/1898,54.2,1.5800000000000054,1.03,戊,戌,申
08/31/1898,60.35,6.149999999999999,1.113,戊,戌,酉
09/30/1898,53.44,-6.910000000000004,0.886,戊,戌,戌
10/31/1898,55.43,1.990000000000002,1.037,戊,戌,亥
11/30/1898,57.2,1.7700000000000031,1.032,戊,戌,子
12/30/1898,60.52,3.3200000000000003,1.058,戊,戌,丑
01/31/1899,64.35,3.829999999999991,1.063,己,亥,寅
02/28/1899,66.78,2.430000000000007,1.038,己,亥,卯
03/30/1899,74.33,7.549999999999997,1.113,己,亥,辰
04/29/1899,76.71,2.3799999999999955,1.032,己,亥,巳
05/31/1899,67.51,-9.199999999999989,0.88,己,亥,午
06/30/1899,70.38,2.8699999999999903,1.043,己,亥,未
07/31/1899,73.73,3.3500000000000085,1.048,己,亥,申
08/31/1899,75.66,1.9299999999999926,1.026,己,亥,酉
09/28/1899,72.87,-2.789999999999992,0.963,己,亥,戌
10/31/1899,74.97,2.0999999999999943,1.029,己,亥,亥
11/29/1899,75.55,0.5799999999999983,1.008,己,亥,子
12/30/1899,66.08,-9.469999999999999,0.875,己,亥,丑
01/31/1900,66.13,0.04999999999999716,1.001,庚,子,寅
02/28/1900,63.96,-2.1699999999999946,0.967,庚,子,卯
03/31/1900,66.02,2.059999999999995,1.032,庚,子,辰
04/30/1900,61.33,-4.689999999999998,0.929,庚,子,巳
05/31/1900,59.1,-2.229999999999997,0.964,庚,子,午
06/30/1900,54.93,-4.170000000000002,0.929,庚,子,未
07/31/1900,56.8,1.8699999999999974,1.034,庚,子,申
08/31/1900,57.81,1.0100000000000051,1.018,庚,子,酉
09/29/1900,54.27,-3.539999999999999,0.939,庚,子,戌
10/31/1900,59.04,4.769999999999996,1.088,庚,子,亥
11/30/1900,66.59,7.550000000000004,1.128,庚,子,子
12/31/1900,70.71,4.11999999999999,1.062,庚,子,丑
01/31/1901,66.81,-3.8999999999999915,0.945,辛,丑,寅
02/28/1901,67,0.18999999999999773,1.003,辛,丑,卯
03/30/1901,69.92,2.9200000000000017,1.044,辛,丑,辰
04/30/1901,75.8,5.8799999999999955,1.084,辛,丑,巳
05/31/1901,75.77,-0.030000000000001137,1.0,辛,丑,午
06/29/1901,77.94,2.1700000000000017,1.029,辛,丑,未
07/31/1901,71.63,-6.310000000000002,0.919,辛,丑,申
08/30/1901,73.47,1.8400000000000034,1.026,辛,丑,酉
09/30/1901,66.66,-6.810000000000002,0.907,辛,丑,戌
10/31/1901,64.45,-2.2099999999999937,0.967,辛,丑,亥
11/30/1901,65.01,0.5600000000000023,1.009,辛,丑,子
12/31/1901,64.56,-0.45000000000000284,0.993,辛,丑,丑
01/31/1902,64.95,0.39000000000000057,1.006,壬,寅,寅
02/28/1902,64.81,-0.14000000000000057,0.998,壬,寅,卯
03/31/1902,67.19,2.3799999999999955,1.037,壬,寅,辰
04/30/1902,67.01,-0.1799999999999926,0.997,壬,寅,巳
05/29/1902,66.42,-0.5900000000000034,0.991,壬,寅,午
06/30/1902,64.31,-2.1099999999999994,0.968,壬,寅,未
07/31/1902,65.82,1.509999999999991,1.023,壬,寅,申
08/29/1902,66.28,0.46000000000000796,1.007,壬,寅,酉
09/30/1902,66.15,-0.12999999999999545,0.998,壬,寅,戌
10/31/1902,66.05,-0.10000000000000853,0.998,壬,寅,亥
11/29/1902,62.05,-4.0,0.939,壬,寅,子
12/31/1902,64.29,2.240000000000009,1.036,壬,寅,丑
01/31/1903,65.18,0.8900000000000006,1.014,癸,卯,寅
02/28/1903,66.19,1.009999999999991,1.015,癸,卯,卯
03/31/1903,63.64,-2.549999999999997,0.961,癸,卯,辰
04/30/1903,63.78,0.14000000000000057,1.002,癸,卯,巳
05/29/1903,60.27,-3.509999999999998,0.945,癸,卯,午
06/30/1903,59.08,-1.1900000000000048,0.98,癸,卯,未
07/31/1903,50.76,-8.32,0.859,癸,卯,申
08/31/1903,53.19,2.4299999999999997,1.048,癸,卯,酉
09/30/1903,45.8,-7.390000000000001,0.861,癸,卯,戌
10/31/1903,45.13,-0.6699999999999946,0.985,癸,卯,亥
11/30/1903,44.33,-0.8000000000000043,0.982,癸,卯,子
12/31/1903,49.11,4.780000000000001,1.108,癸,卯,丑
01/30/1904,48.91,-0.20000000000000284,0.996,甲,辰,寅
02/29/1904,47.53,-1.3799999999999955,0.972,甲,辰,卯
03/31/1904,49.12,1.5899999999999963,1.033,甲,辰,辰
04/30/1904,48.8,-0.3200000000000003,0.993,甲,辰,巳
05/31/1904,48.18,-0.6199999999999974,0.987,甲,辰,午
06/30/1904,49.25,1.0700000000000003,1.022,甲,辰,未
07/30/1904,52.13,2.8800000000000026,1.058,甲,辰,申
08/31/1904,54.57,2.4399999999999977,1.047,甲,辰,酉
09/30/1904,57.59,3.020000000000003,1.055,甲,辰,戌
10/31/1904,63.03,5.439999999999998,1.094,甲,辰,亥
11/30/1904,72.02,8.989999999999995,1.143,甲,辰,子
12/31/1904,69.61,-2.4099999999999966,0.967,甲,辰,丑
01/31/1905,71.33,1.7199999999999989,1.025,乙,巳,寅
02/28/1905,75.15,3.8200000000000074,1.054,乙,巳,卯
03/31/1905,80.02,4.86999999999999,1.065,乙,巳,辰
04/29/1905,76.08,-3.9399999999999977,0.951,乙,巳,巳
05/31/1905,74.32,-1.7600000000000051,0.977,乙,巳,午
06/30/1905,76.87,2.5500000000000114,1.034,乙,巳,未
07/31/1905,81.7,4.829999999999998,1.063,乙,巳,申
08/31/1905,80.63,-1.0700000000000074,0.987,乙,巳,酉
09/30/1905,81.9,1.2700000000000102,1.016,乙,巳,戌
10/31/1905,83.77,1.8699999999999903,1.023,乙,巳,亥
11/29/1905,89.89,6.1200000000000045,1.073,乙,巳,子
12/30/1905,96.2,6.310000000000002,1.07,乙,巳,丑
01/31/1906,100.69,4.489999999999995,1.047,丙,午,寅
02/28/1906,93.94,-6.75,0.933,丙,午,卯
03/31/1906,96.95,3.010000000000005,1.032,丙,午,辰
04/30/1906,90.53,-6.420000000000002,0.934,丙,午,巳
05/31/1906,93.75,3.219999999999999,1.036,丙,午,午
06/30/1906,87.01,-6.739999999999995,0.928,丙,午,未
07/31/1906,92.41,5.3999999999999915,1.062,丙,午,申
08/31/1906,94.01,1.6000000000000085,1.017,丙,午,酉
09/29/1906,94.84,0.8299999999999983,1.009,丙,午,戌
10/31/1906,92.91,-1.9300000000000068,0.98,丙,午,亥
11/30/1906,95.12,2.210000000000008,1.024,丙,午,子
12/31/1906,94.35,-0.7700000000000102,0.992,丙,午,丑
01/31/1907,91.7,-2.6499999999999915,0.972,丁,未,寅
02/28/1907,90.54,-1.1599999999999966,0.987,丁,未,卯
03/29/1907,80.15,-10.39,0.885,丁,未,辰
04/30/1907,84.3,4.1499999999999915,1.052,丁,未,巳
05/31/1907,78.1,-6.200000000000003,0.926,丁,未,午
06/29/1907,80.36,2.260000000000005,1.029,丁,未,未
07/31/1907,78.87,-1.4899999999999949,0.981,丁,未,申
08/30/1907,72.28,-6.590000000000003,0.916,丁,未,酉
09/30/1907,67.72,-4.560000000000002,0.937,丁,未,戌
10/31/1907,57.7,-10.019999999999996,0.852,丁,未,亥
11/30/1907,58.41,0.7099999999999937,1.012,丁,未,子
12/31/1907,58.75,0.3400000000000034,1.006,丁,未,丑
01/31/1908,62.7,3.950000000000003,1.067,戊,申,寅
02/29/1908,60.54,-2.1600000000000037,0.966,戊,申,卯
03/31/1908,67.51,6.970000000000006,1.115,戊,申,辰
04/30/1908,69.55,2.039999999999992,1.03,戊,申,巳
05/29/1908,72.76,3.210000000000008,1.046,戊,申,午
06/30/1908,72.59,-0.1700000000000017,0.998,戊,申,未
07/31/1908,80.34,7.75,1.107,戊,申,申
08/31/1908,84.66,4.319999999999993,1.054,戊,申,酉
09/30/1908,79.93,-4.72999999999999,0.944,戊,申,戌
10/31/1908,82.53,2.5999999999999943,1.033,戊,申,亥
11/30/1908,87.3,4.769999999999996,1.058,戊,申,子
12/31/1908,86.15,-1.1499999999999915,0.987,戊,申,丑
01/30/1909,84.09,-2.0600000000000023,0.976,己,酉,寅
02/27/1909,81.85,-2.240000000000009,0.973,己,酉,卯
03/31/1909,86.12,4.27000000000001,1.052,己,酉,辰
04/30/1909,88.29,2.1700000000000017,1.025,己,酉,巳
05/28/1909,92.18,3.8900000000000006,1.044,己,酉,午
06/30/1909,92.28,0.09999999999999432,1.001,己,酉,未
07/31/1909,96.79,4.510000000000005,1.049,己,酉,申
08/31/1909,97.9,1.1099999999999994,1.011,己,酉,酉
09/30/1909,99.55,1.6499999999999915,1.017,己,酉,戌
10/30/1909,99.07,-0.480000000000004,0.995,己,酉,亥
11/30/1909,96.02,-3.049999999999997,0.969,己,酉,子
12/31/1909,99.05,3.030000000000001,1.032,己,酉,丑
01/31/1910,91.91,-7.140000000000001,0.928,庚,戌,寅
02/28/1910,91.34,-0.5699999999999932,0.994,庚,戌,卯
03/31/1910,89.71,-1.6300000000000097,0.982,庚,戌,辰
04/30/1910,86.2,-3.509999999999991,0.961,庚,戌,巳
05/31/1910,86.32,0.11999999999999034,1.001,庚,戌,午
06/30/1910,81.18,-5.139999999999986,0.94,庚,戌,未
07/30/1910,76.48,-4.700000000000003,0.942,庚,戌,申
08/31/1910,79.68,3.200000000000003,1.042,庚,戌,酉
09/30/1910,79.72,0.03999999999999204,1.001,庚,戌,戌
10/31/1910,84.77,5.049999999999997,1.063,庚,戌,亥
11/30/1910,82.52,-2.25,0.973,庚,戌,子
12/31/1910,81.36,-1.1599999999999966,0.986,庚,戌,丑
01/31/1911,84.93,3.5700000000000074,1.044,辛,亥,寅
02/28/1911,85.02,0.0899999999999892,1.001,辛,亥,卯
03/31/1911,83.27,-1.75,0.979,辛,亥,辰
04/29/1911,83.65,0.38000000000000966,1.005,辛,亥,巳
05/31/1911,85.55,1.8999999999999915,1.023,辛,亥,午
06/30/1911,85.98,0.4300000000000068,1.005,辛,亥,未
07/31/1911,86.02,0.03999999999999204,1.0,辛,亥,申
08/31/1911,79.25,-6.769999999999996,0.921,辛,亥,酉
09/30/1911,76.31,-2.9399999999999977,0.963,辛,亥,戌
10/31/1911,75.79,-0.519999999999996,0.993,辛,亥,亥
11/29/1911,80.97,5.179999999999993,1.068,辛,亥,子
12/30/1911,81.68,0.710000000000008,1.009,辛,亥,丑
01/31/1912,80.19,-1.490000000000009,0.982,壬,子,寅
02/29/1912,81.4,1.210000000000008,1.015,壬,子,卯
03/30/1912,88.27,6.86999999999999,1.084,壬,子,辰
04/30/1912,90.3,2.030000000000001,1.023,壬,子,巳
05/31/1912,88.01,-2.289999999999992,0.975,壬,子,午
06/29/1912,90.92,2.9099999999999966,1.033,壬,子,未
07/31/1912,89.71,-1.210000000000008,0.987,壬,子,申
08/30/1912,91.57,1.8599999999999994,1.021,壬,子,酉
09/30/1912,94.15,2.5800000000000125,1.028,壬,子,戌
10/31/1912,90.71,-3.440000000000012,0.963,壬,子,亥
11/30/1912,91.4,0.6900000000000119,1.008,壬,子,子
12/31/1912,87.87,-3.530000000000001,0.961,壬,子,丑
01/31/1913,83.72,-4.150000000000006,0.953,癸,丑,寅
02/28/1913,80.32,-3.4000000000000057,0.959,癸,丑,卯
03/31/1913,80.92,0.6000000000000085,1.007,癸,丑,辰
04/30/1913,78.54,-2.3799999999999955,0.971,癸,丑,巳
05/29/1913,78.38,-0.1600000000000108,0.998,癸,丑,午
